   ------------------------------------------------------------------
  | Welcome to ROOT 6.36.000                       https://root.cern |
  | (c) 1995-2025, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Jul 08 2025, 08:13:40                 |
  | From tags/6-36-000@6-36-000                                      |
  | With c++ (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0                   |
  | Try '.help'/'.?', '.demo', '.license', '.credits', '.quit'/'.q'  |
   ------------------------------------------------------------------


Processing EPOS_finalCodeQA.cxx...
Total events = 7974900
First pass: computing FT0...
Second pass: physics observables...
Event 283: eposID=231, pt=0.335302, y=0.031655, ist=7, ity=30 ior=100, jor=-1
Event 283: eposID=231, pt=0.531068, y=-0.178819, ist=7, ity=31 ior=124, jor=-1
Event 293: eposID=231, pt=0.0303959, y=0.298567, ist=3, ity=30 ior=78, jor=-1
Event 293: eposID=231, pt=0.0303959, y=0.261257, ist=6, ity=30 ior=93, jor=-1
Event 297: eposID=231, pt=0.483353, y=-0.0892145, ist=7, ity=31 ior=46, jor=-1
Event 305: eposID=231, pt=0.379838, y=0.132758, ist=7, ity=30 ior=254, jor=-1
Event 305: eposID=231, pt=0.544686, y=0.141783, ist=7, ity=31 ior=277, jor=-1
Event 305: eposID=231, pt=0.205817, y=-0.427587, ist=7, ity=31 ior=411, jor=-1
Event 306: eposID=231, pt=0.0683405, y=0.0152884, ist=3, ity=30 ior=192, jor=-1
Event 306: eposID=231, pt=0.467322, y=-0.0556584, ist=3, ity=31 ior=207, jor=-1
Event 306: eposID=231, pt=0.8744, y=-0.467054, ist=7, ity=31 ior=470, jor=-1
Event 306: eposID=231, pt=0.0683405, y=0.0144409, ist=6, ity=30 ior=193, jor=-1
Event 306: eposID=231, pt=0.467322, y=-0.0556584, ist=6, ity=31 ior=211, jor=-1
Event 307: eposID=231, pt=0.852232, y=0.163127, ist=3, ity=31 ior=205, jor=-1
Event 307: eposID=231, pt=0.852232, y=0.163127, ist=6, ity=31 ior=206, jor=-1
Event 308: eposID=231, pt=0.290916, y=-0.321891, ist=7, ity=30 ior=546, jor=-1
Event 308: eposID=231, pt=2.95148, y=-0.404016, ist=6, ity=31 ior=484, jor=-1
Event 311: eposID=231, pt=0.470753, y=0.485968, ist=7, ity=30 ior=83, jor=-1
Event 312: eposID=231, pt=0.164244, y=0.244913, ist=7, ity=30 ior=84, jor=-1
Event 312: eposID=231, pt=0.237737, y=0.105811, ist=7, ity=30 ior=140, jor=-1
Event 312: eposID=231, pt=0.309933, y=-0.33373, ist=7, ity=31 ior=196, jor=-1
Event 314: eposID=231, pt=0.202784, y=-0.266865, ist=7, ity=30 ior=129, jor=-1
Event 314: eposID=231, pt=1.33698, y=-0.288788, ist=3, ity=60 ior=-1, jor=-1
Event 314: eposID=231, pt=1.33698, y=-0.288788, ist=6, ity=60 ior=248, jor=-1
Event 315: eposID=231, pt=0.172504, y=0.155486, ist=7, ity=30 ior=29, jor=-1
Event 321: eposID=231, pt=0.644314, y=0.482828, ist=7, ity=31 ior=72, jor=-1
Event 322: eposID=231, pt=0.116169, y=0.373067, ist=3, ity=30 ior=170, jor=-1
Event 322: eposID=231, pt=0.116169, y=0.361792, ist=6, ity=30 ior=177, jor=-1
Event 325: eposID=231, pt=0.215693, y=0.116515, ist=7, ity=31 ior=59, jor=-1
Event 325: eposID=231, pt=0.0920723, y=0.0181888, ist=3, ity=60 ior=-1, jor=-1
Event 325: eposID=231, pt=0.0920723, y=0.0181888, ist=6, ity=60 ior=299, jor=-1
Event 328: eposID=231, pt=0.275635, y=0.104148, ist=1, ity=60 ior=291, jor=-1
Event 328: eposID=231, pt=1.58113, y=-0.460513, ist=1, ity=60 ior=293, jor=-1
Event 332: eposID=231, pt=0.392883, y=-0.0929865, ist=3, ity=53 ior=5, jor=-1
Event 332: eposID=231, pt=0.392883, y=-0.0929865, ist=6, ity=53 ior=14, jor=-1
Event 342: eposID=231, pt=0.0810181, y=0.294418, ist=7, ity=31 ior=64, jor=-1
Event 342: eposID=231, pt=0.460113, y=0.395606, ist=3, ity=30 ior=140, jor=-1
Event 342: eposID=231, pt=0.460113, y=0.395606, ist=6, ity=30 ior=154, jor=-1
Event 343: eposID=231, pt=1.37501, y=0.144171, ist=3, ity=31 ior=68, jor=-1
Event 343: eposID=231, pt=0.852594, y=0.0612936, ist=3, ity=31 ior=122, jor=-1
Event 343: eposID=231, pt=1.37501, y=0.144171, ist=6, ity=31 ior=77, jor=-1
Event 343: eposID=231, pt=0.852594, y=0.0612936, ist=6, ity=31 ior=125, jor=-1
Event 345: eposID=231, pt=0.411073, y=0.419119, ist=3, ity=31 ior=101, jor=-1
Event 345: eposID=231, pt=0.411073, y=0.419119, ist=6, ity=31 ior=111, jor=-1
Event 351: eposID=231, pt=0.174094, y=0.0847227, ist=3, ity=30 ior=257, jor=-1
Event 351: eposID=231, pt=0.174094, y=0.0825343, ist=6, ity=30 ior=262, jor=-1
Event 353: eposID=231, pt=0.122604, y=-0.429547, ist=7, ity=30 ior=251, jor=-1
Event 354: eposID=231, pt=1.2982, y=-0.14342, ist=3, ity=60 ior=-1, jor=-1
Event 354: eposID=231, pt=1.2982, y=-0.143664, ist=6, ity=60 ior=337, jor=-1
Event 360: eposID=231, pt=0.192038, y=-0.158407, ist=3, ity=30 ior=128, jor=-1
Event 360: eposID=231, pt=0.192038, y=-0.164353, ist=6, ity=30 ior=129, jor=-1
Event 361: eposID=231, pt=0.557232, y=0.286478, ist=3, ity=30 ior=63, jor=-1
Event 361: eposID=231, pt=0.557232, y=0.279887, ist=6, ity=30 ior=72, jor=-1
Event 362: eposID=231, pt=0.351078, y=0.13268, ist=3, ity=30 ior=70, jor=-1
Event 362: eposID=231, pt=0.351078, y=0.13268, ist=6, ity=30 ior=76, jor=-1
Event 368: eposID=231, pt=0.439399, y=0.166346, ist=3, ity=31 ior=17, jor=-1
Event 368: eposID=231, pt=0.439399, y=0.122938, ist=6, ity=31 ior=29, jor=-1
Event 369: eposID=231, pt=0.211066, y=-0.400026, ist=3, ity=30 ior=42, jor=-1
Event 369: eposID=231, pt=0.211066, y=-0.399325, ist=6, ity=30 ior=48, jor=-1
Event 385: eposID=231, pt=0.825, y=0.103888, ist=3, ity=60 ior=-1, jor=-1
Event 385: eposID=231, pt=0.825, y=0.103888, ist=6, ity=60 ior=504, jor=-1
